,listId,name,description,hashtags,visibility
0,100, , ,[],True
1,351,Paris 14ième,,[[]],True
2,5,Hip hop ,,[[]],False
3,411,Adresses Paris,Testées à Paris,[[#paris]],True
4,386,test,,[[]],True
5,98, , ,[],True
6,2,Entre potos,,[[]],False
7,2,Bon coins à Boulbi,,[[]],True
8,349,Plus tard ,A faire plus tard ,[[]],True
9,349,Plus tard ,A faire plus tard ,"[[#Hash, #1
]]",True
10,418,Restaurants Marseille,Découvrez ici les lieux les plus populaires de Marseille ! Donnez nous votre avis sur les adresses de nos listes pour vous connecter aux autres utilisateurs !,"[[#Restaurants, #Marseille]]",True
11,379,Midi,,[[]],True
12,348,kebab,,[[#kebab]],True
13,91,Où manger des crêpes à Marseille ?,"On est d'accord, traditionnellement à Marseille en cette période de Chandeleur on se doit de manger des navettes, et non des crêpes ! Mais avouons-le, la spécialité bretonne est un peu meilleure que le biscuit marseillais. En plus avec les crêpes, des tas de possibilités gustatives s'offrent à notre palais. Alors on la mange où cette crêpe ce soir ?",[],True
14,82,Où manger des crêpes à Marseille ?,"On est d'accord, traditionnellement à Marseille en cette période de Chandeleur on se doit de manger des navettes, et non des crêpes ! Mais avouons-le, la spécialité bretonne est un peu meilleure que le biscuit marseillais. En plus avec les crêpes, des tas de possibilités gustatives s'offrent à notre palais. Alors on la mange où cette crêpe ce soir ?",[],True
15,19,Paris est magique,,[],True
16,58,terrasses,il suffit parfois ….,[],True
17,412,Grand bar terrasse,,[[]],True
18,79,terrasses,il suffit parfois ….,[],True
19,27,La vré,,[[string]],True
20,401,test 3,,[[]],True
21,31,La vré,,[[string]],True
22,7,Hip hop,,[[]],True
23,94, , 4,[],True
24,87,Où manger des crêpes à Marseille ?,"On est d'accord, traditionnellement à Marseille en cette période de Chandeleur on se doit de manger des navettes, et non des crêpes ! Mais avouons-le, la spécialité bretonne est un peu meilleure que le biscuit marseillais. En plus avec les crêpes, des tas de possibilités gustatives s'offrent à notre palais. Alors on la mange où cette crêpe ce soir ?",[],True
25,93, , 4,[],True
26,376,Paris,,[[]],True
27,78,terrasses,il suffit parfois ….,[],True
28,70,terrasses,il suffit parfois ….,[],True
29,402,test,,[[]],True
30,25,La vré,,[],True
31,405,test4,,[[]],True
32,365,Restaurants Lyon,Découvrez ici les lieux les plus populaires de Lyon ! Donnez nous votre avis sur les adresses de nos listes pour vous connecter aux autres utilisateurs !,"[[#Restaurants, #Lyon]]",True
33,380,Soir,,[[]],True
34,77,terrasses,il suffit parfois ….,[],True
35,353,Watwat,How to dance,[[]],True
36,414,Où manger des crêpes à Marseille ?,"On est d'accord, traditionnellement à Marseille en cette période de Chandeleur on se doit de manger des navettes, et non des crêpes ! Mais avouons-le, la spécialité bretonne est un peu meilleure que le biscuit marseillais. En plus avec les crêpes, des tas de possibilités gustatives s'offrent à notre palais. Alors on la mange où cette crêpe ce soir ?",[],True
37,382,samedi aprèm,,[[]],True
38,22,La vré,,[],True
39,71,terrasses,il suffit parfois ….,[],True
40,367,Restaurants Toulouse,Découvrez ici les lieux les plus populaires de Toulouse ! Donnez nous votre avis sur les adresses de nos listes pour vous connecter aux autres utilisateurs !,"[[#Restaurants, #Toulouse]]",True
41,356,Cool,,[[]],True
42,33,La vré,,[[#string]],True
43,97, , ,[],True
44,28,La vré,,[[string]],True
45,42,terrasses,il suffit parfois ….,[],True
46,375,Bar,,[[]],True
47,55,test10,,[[]],True
48,45,terrasses,il suffit parfois ….,[],True
49,369,Restaurants Lille,Découvrez ici les lieux les plus populaires de Lille ! Donnez nous votre avis sur les adresses de nos listes pour vous connecter aux autres utilisateurs !,"[[#Lille, #restaurant]]",True
